OBJECTID,PARCEL_TAG,PARCEL_I,PARCEL_C,STREETADDRESS,CITY,ID,UTILITY_ST,USPS_VACANCY,TAX_DELINQUENT,SURPLUS,REPAIR_ORDER,DEMO_ORDER,IMPROVEMENT,SOURCE,SHAPEAREA,SHAPELEN
4025,1285796,9000505,9000505,331 ROBTON ST,INDIANAPOLIS,226445,1,1,1,0,0,0,1,MO,4790.88652852275,302.924449019443
4026,1279979,9024156,9024156,422 N GOODLET AVE,INDIANAPOLIS,2025,1,1,1,0,0,0,1,MO,4506.94598944263,342.428262792303
4027,1015982,1078066,1078066,2636 ETHEL AVE,INDIANAPOLIS,280459,1,1,1,0,1,0,1,MO,4355.99139435706,329.999856389853
4028,1072353,1021152,1021152,1715 E KELLY ST,INDIANAPOLIS,52252,0,1,1,0,0,0,1,MO,5000.01980268031,330.001065298022
4029,1027491,1010195,1010195,1837 HOLLOWAY AVE,INDIANAPOLIS,24778,1,0,1,0,0,0,1,MO,3072.58726012079,245.589199161864
4030,1182946,7024681,7024681,2541 AURIE DR,INDIANAPOLIS,164085,0,1,1,0,0,0,1,MO,6754.29553170151,345.942192889886
4031,1070886,1040400,1040400,45 E LEGRANDE AVE,INDIANAPOLIS,135195,0,1,1,0,0,0,1,MO,3285.29768243837,273.963951836991
4032,1047463,1057166,1057166,205 EASTERN AVE,INDIANAPOLIS,5816,0,1,1,0,0,0,1,MO,3960.76557949756,313.381287259206
4033,1186939,7018053,7018053,5414 E 20TH ST,INDIANAPOLIS,136177,0,1,1,0,0,0,1,MO,5305.13961781501,312.339974991799
4034,1019133,1042557,1042557,2401 ADAMS ST,INDIANAPOLIS,28467,1,1,1,1,0,0,1,MO,6400.82844028234,400.052175930619
4035,1007641,1016588,1016588,3124 N COLORADO AVE,INDIANAPOLIS,220036,1,0,1,0,0,0,1,MO,5225.90799377151,345.993803157004
4036,1021098,1081867,1081867,2321 N CAPITOL AVE,INDIANAPOLIS,128002,0,1,1,0,0,0,1,MO,5352.56546863339,347.945485925113
4037,1248122,8023246,8023246,215 W 44TH ST,INDIANAPOLIS,177437,0,1,1,0,0,0,1,MO,6078.77001481805,352.670804780759
4038,1316370,1085474,1085474,3730 N LINWOOD AVE,INDIANAPOLIS,195914,0,1,1,0,0,0,1,MO,7005.17185407319,371.578442095049
